,Reviews,Sentiment,Clean_reviews
0,So there is no way for me to plug it in here in the US unless I go by a converter.,0,way plug u unless go converter
1,"Good case, Excellent value.",1,good case excellent value
2,Great for the jawbone.,1,great jawbone
3,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,tied charger conversation lasting minute major problem
4,The mic is great.,1,mic great
5,I have to jiggle the plug to get it to line up right to get decent volume.,0,jiggle plug get line right get decent volume
6,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,several dozen several hundred contact imagine fun sending one one
7,If you are Razr owner...you must have this!,1,razr owner must
8,"Needless to say, I wasted my money.",0,needle say wasted money
9,What a waste of money and time!.,0,waste money time
10,And the sound quality is great.,1,sound quality great
11,He was very impressed when going from the original battery to the extended battery.,1,wa impressed going original battery extended battery
12,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,two seperated mere ft started notice excessive static garbled sound headset
13,Very good quality though,1,good quality though
14,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,design odd ear clip comfortable
15,Highly recommend for any one who has a blue tooth phone.,1,highly recommend one ha blue tooth phone
16,I advise EVERYONE DO NOT BE FOOLED!,0,advise everyone fooled
17,So Far So Good!.,1,far good
18,Works great!.,1,work great
19,It clicks into place in a way that makes you wonder how long that mechanism would last.,0,click place way make wonder long mechanism would last
20,"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,went motorola website followed direction could get pair
21,I bought this to use with my Kindle Fire and absolutely loved it!,1,bought use kindle fire absolutely loved
22,The commercials are the most misleading.,0,commercial misleading
23,I have yet to run this new battery below two bars and that's three days without charging.,1,yet run new battery two bar three day without charging
24,I bought it for my mother and she had a problem with the battery.,0,bought mother problem battery
25,Great Pocket PC / phone combination.,1,great pocket pc phone combination
26,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,owned phone month say best mobile phone
27,I didn't think that the instructions provided were helpful to me.,0,think instruction provided helpful
28,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,people couldnt hear talk pull earphone talk phone
29,Doesn't hold charge.,0,hold charge
30,"This is a simple little phone to use, but the breakage is unacceptible.",0,simple little phone use breakage unacceptible
31,This product is ideal for people like me whose ears are very sensitive.,1,product ideal people like whose ear sensitive
32,It is unusable in a moving car at freeway speed.,0,unusable moving car freeway speed
33,I have two more years left in this contract and I hate this phone.,0,two year left contract hate phone
34,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,car charger well ac charger included make sure never run juice highy recommended
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,need least min get phone book time first turn phone battery life short
36,It has kept up very well.,1,ha kept well
37,Poor Talk Time Performance.,0,poor talk time performance
38,The case is great and works fine with the 680.,1,case great work fine
39,worthless product.,0,worthless product
40,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,ha great camera thats mp pic nice clear great picture quality
41,I was not impressed by this product.,0,wa impressed product
42,Nice headset priced right.,1,nice headset priced right
43,I only hear garbage for audio.,0,hear garbage audio
44,Excellent bluetooth headset.,1,excellent bluetooth headset
45,It has all the features I want,1,ha feature want
46,Who in their right mind is gonna buy this battery?.,0,right mind gon na buy battery
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,arguing verizon regarding dropped call returned phone two day
48,This case seems well made.,1,case seems well made
49,Disappointed with battery.,0,disappointed battery
50,Not loud enough and doesn't turn on like it should.,0,loud enough turn like
51,good protection and does not make phone too bulky.,1,good protection doe make phone bulky
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,usable keyboard actually turn pda real world useful machine instead neat gadget
